fid	X2000	Y2000	v_m	ALD_m	Exx	Eyy	Yxy
110	5566898,6	5717002,4	-0,6	-18,6	-0,04055	-0,0401	-0,0326
111	5574130,7	5716980,4	-0,9	0	-0,01024	0,08648	-0,01766
112	5572419,2	5719514,5	18,3	31	-0,02327	0,03769	-0,04582
114	5574656,3	5719141,8	-5,3	4,7	0,00244	-0,03886	-0,02366
115	5570500,2	5718519	2	-0,1	0,03445	0,02527	-0,02837
116	5568075,1	5717542,3	-222,8	-75	-0,36543	-0,16131	-0,29581
117	5568681,3	5715321,4	-13	34,1	0,01695	-0,04967	0,13536
118	5571724,2	5717213,8	-51,1	35,3	-0,1582	0,02097	-0,11208
119	5574433,5	5717514,5	17,1	3,4	0,05715	0,03095	0,01709
120	5573308,7	5716269,3	32	46,3	0,0093	-0,03191	-0,05474
121	5569601	5718980,9	-71,9	-29,3	-0,05091	0,04356	-0,13091
122	5567967	5715139,5	-11,1	-9,3	0,02305	-0,02357	0,03688
123	5572549,6	5717890,6	-14,4	-20,6	-0,03028	0,07978	-0,11955
124	5568452,1	5714862,5	12,1	-3,6	-0,00682	0,07545	0,00865
125	5570815,7	5718421,5	9,4	31,5	0,00994	0,07193	-0,05308
127	5573547,6	5715312,6	8,8	10,8	0,03134	0,04955	0,02215
128	5569676,8	5719736,2	-112,2	-11,5	-0,08577	-0,14775	0,00939
129	5569351,8	5716128,3	-58	-23,8	-0,16515	0,1467	0,08477
130	5566848,4	5717676,8	4,7	2,4	0,04429	0,04885	0,10079
131	5570384,5	5718273,1	14	34,6	0,00933	0,06018	-0,00354
132	5572695,6	5719239,1	-8,4	-7,4	0,06761	-0,01926	-0,02133
133	5570320	5715248,6	9,1	-7,7	0,05122	0,05036	-0,00991
134	5571421	5716399,2	-42,4	43,8	-0,01803	-0,06687	0,08148
135	5574499,8	5716300,9	1,3	11,9	-0,01782	0,03423	-0,00932
136	5567312	5718949,7	-6,1	1,7	0,01164	-0,04311	-0,06557
137	5570041,3	5718739,1	-16,1	-37,1	0,02908	-0,00912	-0,03201
138	5568613,6	5717706,1	-27,8	-22,1	0,20321	0,02327	0,0187
139	5569346,4	5715337,7	-104,4	-57,1	-0,16705	-0,04612	-0,22037
140	5569565,8	5720160,4	-4,7	12,8	-0,04694	0,168	-0,0293
141	5570173,7	5718298,6	6,8	6,5	0,02706	0,07699	-0,02388
142	5570194,3	5716103,8	0,1	-12	0,03909	0,04919	-0,03313
143	5567344,4	5720134,2	11,1	-8,4	-0,0219	-0,1033	-0,0357
144	5570152,9	5715919,5	7,8	2,1	0,05632	0,06877	-0,00534
145	5572324,7	5720033,9	-4,2	-2	-0,02058	0,02363	0,03206
146	5573443	5716593,2	-1,3	11	0,02225	-0,03982	0,03665
147	5572596,7	5716663,1	-15,2	-18,4	0,05636	-0,07569	-0,0558
148	5567852	5718007,6	-175,4	85	-0,43032	-0,33307	-0,26948
149	5566639,8	5719279,5	4,2	4	0,02987	-0,05165	0,02165
150	5571475,3	5714778,1	4,6	16,5	0,01552	0,08436	0,03132
151	5566501,9	5717072,5	5,8	7,3	-0,0032	-0,02996	0,02893
152	5568491,9	5719872,4	15,8	58,1	0,04353	-0,01491	-0,08562
153	5572249,7	5717649,9	-7,7	0,1	-0,02608	0,13122	-0,01857
154	5571648,1	5718011,9	-51,5	36,9	0,02692	0,05939	0,142
155	5566691,1	5715710,4	17,8	9,2	-0,00164	-0,08971	0,01372
156	5572880,8	5717129,9	-8,9	28,9	0,03587	-0,04194	0,00904
157	5566901,6	5716832	8,6	-11,6	-0,01371	0,00994	0,00261
158	5571014,9	5715892,6	7,4	8,6	0,05099	-0,00137	-0,0266
159	5573396,3	5718836,2	26,7	4,6	0,09406	0,00254	0,08493
160	5568697,2	5714867,5	21,6	18,8	0,02288	0,01865	0,0894
161	5571571,5	5719845,4	9,2	5,9	-0,03492	0,01604	0,0039
163	5567876,8	5720096,5	1,2	11,3	-0,01135	-0,0194	0,00326
164	5568265,8	5716628,4	10,1	-5,9	-0,01272	0,05559	-0,00019
165	5567561,9	5716907,8	-5,7	26,7	0,03292	0,0778	0,20834
166	5573227,6	5719388,1	8,3	16,6	-0,02842	0,04374	-0,04213
167	5569642,8	5718503,5	-18,2	-28,9	0,02896	0,04639	0,03562
169	5572411,9	5717318	1	2,6	0,06599	0,04779	-0,00368
171	5573212,6	5718870,1	-3,8	-1,7	0,03215	0,0253	0,01787
172	5568412,1	5720083,5	7,3	11,4	0,02497	0,02059	-0,04936
173	5570343,3	5718592,1	14,1	-13,9	0,05693	-0,01587	-0,02707
174	5568461,3	5714883,4	15,8	9,9	-0,00036	0,0745	0,01809
175	5568691,6	5715860,4	-39,8	15,2	0,00194	-0,00601	0,07073
176	5569128,5	5718529,6	-21,2	-18,1	-0,02446	0,04813	-0,01846
177	5571028,1	5718048,6	2,7	33,1	0,11981	-0,1238	0,00564
178	5566408,7	5716780,8	5,4	2,8	-0,01614	0,06182	-0,0091
179	5571981,3	5714922,4	-30,1	-4,1	-0,00392	0,0982	0,0018
180	5570971,8	5716394,6	12,5	19,4	0,03776	0,03561	0,06649
181	5573317,8	5715776,9	-3,3	24,9	0,00333	0,0228	0,00267
182	5568753,9	5716883,1	6,6	-11,9	0,00415	-0,01923	0,00515
183	5568319,6	5719592,7	1,6	1,3	0,02311	0,02861	-0,02676
184	5572024	5715937,4	-36,6	16,4	-0,07456	0,07828	-0,06314
185	5572211,2	5715539,6	-44,8	-4,7	-0,10444	-0,14637	-0,05973
186	5568800,5	5716036,8	-26,7	25,8	-0,02282	-0,0336	0,00558
187	5572845,4	5718954,8	8,5	1,3	0,0454	0,03024	-0,02199
188	5572759,5	5716001,6	-15,2	-12,2	0,09783	0,02716	0,05286
189	5568166,7	5719689,5	-2,4	10,3	-0,00957	-0,01539	0,03896
190	5571027,5	5714830,8	6,9	2,6	0,00913	0,01085	-0,00948
191	5566201,6	5715778,9	0,8	-2,1	0,01757	-0,02411	-0,01095
192	5573711,5	5716064,4	11,3	5,8	-0,01935	-0,05915	-0,04533
193	5566953,1	5715983,6	-11,2	-10,2	0,01997	-0,03857	0,00178
194	5572190,1	5718958,8	-77,6	0,5	-0,13057	0,07477	-0,0319
195	5568621,7	5718057,9	-87,8	-136,7	0,18844	-0,15816	0,01227
196	5571403,3	5717780,8	3,4	40,2	-0,05661	0,09072	-0,00019
197	5569048,2	5718976,7	-53	-6,2	0,02117	0,01597	0,10721
198	5570068,7	5714680,8	-1,8	-1,6	0,05472	0,0332	-0,01106
200	5573245	5715462,3	-4,7	-7,2	0,00467	-0,02113	0,00532
201	5570434,2	5715203,3	15,6	-2,2	0,04587	0,04045	0,05957
202	5566210	5714768,8	5,6	7,7	0,00038	-0,00457	0,00085
203	5570280,1	5715916,8	-1,4	-26,4	0,05626	0,06694	0,04311
204	5567874,4	5716009,6	20,1	17	0,02304	-0,00122	0,03036
205	5570532,5	5715995	-5,2	-10,1	0,01416	-0,0238	-0,06032
206	5566166,2	5718354,8	-0,7	-5,3	0,01269	0,00743	0,03169
207	5566726,5	5715798,1	3,1	-11,4	0,00102	-0,05751	0,03394
208	5574553,7	5716931,4	17,6	12,4	0,00257	0,04933	0,06034
209	5573670,1	5719502,4	-2,4	0,1	-0,01468	0,00926	0,03411
210	5567157,4	5715849,4	11,5	-1,9	-0,01002	-0,03404	0,00746
211	5574160,5	5718404,7	0,6	12,9	0,01177	-0,08975	0,00515
212	5568828,7	5715335,3	-18,6	45,6	-0,06098	-0,00358	0,19543
213	5570152,6	5717714,5	-2,7	13,9	0,00313	-0,0287	-0,01502
214	5566956,2	5717691	2	-14,2	0,03803	0,04693	0,06767
215	5574158,9	5719265,7	20,4	2,8	0,00525	-0,04107	-0,01608
216	5568715,7	5718969,4	-22,6	15,6	-0,02042	-0,03031	0,09489
217	5569466,9	5714764,4	-15,8	-2,4	0,01278	0,0682	0,00039
218	5570748,8	5715675,6	-7,1	-18,6	0,01366	-7,00E-05	-0,03219
219	5568874,6	5715143	-25,7	26,6	-0,06675	0,06382	0,05845
220	5573926,8	5716045,7	-10,9	16,8	0,00943	-0,03474	-0,0254
221	5570068,7	5719892,1	-3,1	-9,5	0,09652	0,1501	0,1074
222	5574312	5715996,6	-23,2	-13,2	0,01712	0,0331	0,00587
223	5571687,9	5716403	-53,8	29,3	-0,09777	-0,02864	0,04653
224	5571804,4	5720444	-18,5	-15,9	-0,00429	-0,01215	0,01227
225	5568106,7	5714799,2	-5,3	-11,9	0,00202	0,02721	0,01905
226	5574019,6	5715981	-16,8	1,4	0,0183	-0,10558	0,00464
227	5569756,8	5716329,8	-41,5	-53,1	0,04176	-0,17974	0,04698
228	5573305,1	5718932,5	1,7	6	0,05505	0,05347	0,0729
229	5571046	5716376,9	20,9	35,7	0,06298	0,04284	0,04621
231	5566567,4	5715701,6	-11,9	-11,5	-0,01132	-0,08546	0,00134
232	5571566,4	5715515	-5,6	28	0,0218	-0,08151	-0,00944
233	5570266,7	5717477,9	-31,3	-35	0,00854	-0,00536	-0,10982
234	5569398,7	5719492,1	-161,1	-1,2	-0,26144	-0,28936	-0,06046
235	5572335	5718879,1	-87,9	-44,1	-0,00504	0,10327	0,1367
236	5573244	5716192	5,1	1,1	0,01246	-0,0271	-0,03117
237	5570681,4	5716707,4	18,1	7,8	0,05351	0,01818	-0,00078
238	5566567	5719081	10,1	3,1	0,01222	0,03672	0,00121
239	5568599,9	5715246,5	-4,3	10,7	0,07704	-0,05481	0,09359
240	5568242,2	5716991,2	-35	-39,4	-0,01027	8,39E-02	-0,03197
241	5567853,8	5719898,2	5	12,9	-0,00746	0,08141	0,02255
242	5568896,6	5715987,8	-54,7	21,1	-0,1227	-0,08942	-0,05415
243	5574189,8	5716956,2	18,5	5,5	0,00067	0,10811	-0,03555
245	5569508,9	5714902,7	-35,6	-33,6	0,01674	0,0316	-0,12339
246	5567029,6	5719528,8	2,4	7,7	0,00311	-0,05397	-0,02642
247	5567008,5	5715673,8	-3,1	-4,3	-0,0061	0,00899	-0,02645
248	5571077,4	5715779,3	4,6	5,9	0,01912	-0,0086	-0,03345
249	5570868,3	5717032,6	14,7	26,3	0,0632	-0,01574	0,0141
250	5574631,2	5718442,5	-0,2	10,8	0,02883	-0,09551	0,02461
251	5569235,9	5717831,3	3,1	-51,1	-0,00162	-0,00158	0,01335
252	5574648,8	5715171,5	-41,2	57,5	0,04999	-0,00335	-0,07601
253	5572707,3	5718139,1	-4,5	-11,8	0,07258	0,02163	-0,10136
254	5570900,1	5716016,5	14,9	12,2	0,03236	-0,01074	0,01549
255	5569344,3	5716765,3	10,7	16,2	-0,07146	0,21537	0,06943
256	5574160,3	5716911,8	-0,2	21,1	-0,00509	0,11957	-0,03491
257	5570517,9	5717195,6	-11	5,6	0,04002	-0,04018	-0,05166
258	5566535,4	5717199	3	8	-0,00812	0,00603	0,00249
259	5570813,9	5720252,6	-7,1	5	0,00358	-0,1084	-0,00034
260	5573008,9	5715173,3	3,8	18,8	0,00827	-0,07797	0,00516
262	5568925,9	5716640,8	-0,1	-0,5	0,00516	0,04651	-0,13299
263	5567544,8	5716898,5	-25,4	11,7	0,04405	0,06304	0,1851
264	5570695,3	5719939,2	3,2	12,4	-0,015	0,03486	-0,02762
265	5570552,4	5719121,6	-11,1	-18,5	0,03125	0,0424	-0,04156
266	5571578,3	5714904,1	-4,5	8,7	-0,00042	0,06539	0,00818
267	5567095,4	5720210,4	17,7	23,7	-0,02029	-0,00754	-0,04781
268	5568749,8	5719585,3	16,9	31,3	0,05471	-0,026	-0,00484
269	5568981	5719570	-53,5	51,8	-0,00728	-0,11641	0,00883
270	5569659,1	5715569,1	-65,6	-78,3	0,17938	-0,13469	-0,04344
271	5568205	5715399,3	11,4	16,9	0,03913	0,07372	-0,06367
272	5566706,8	5716137,6	6,1	-0,3	-0,04759	0,08767	-0,02103
273	5573161,3	5719049,3	13,6	13	0,01475	0,06316	0,06522
275	5571929,4	5717937	-60,2	21,2	-0,09851	0,20437	0,10194
276	5573642,4	5716179,7	15,9	14,8	0,01229	0,03703	-0,04392
277	5572789,1	5718131,8	-12,4	-28,2	0,09483	0,00671	-0,07039
278	5570722,4	5719939,3	-20,8	-2,3	-0,00946	0,05834	-0,031
279	5574027,8	5719271,6	-21,9	-12,8	0,00308	-0,06027	-0,00501
280	5573839,3	5716215,9	27,5	0,3	0,03565	0,15642	0,01687
281	5568014,2	5720367,2	-13,3	-12,3	-0,01717	-0,04048	0,01696
282	5568386	5717157,6	-51,3	-43	0,04279	0,17125	-0,08735
283	5571849,6	5718918	-66,7	74,5	-0,20451	0,00148	-0,09393
284	5569792,6	5716469,5	-16,5	-11,4	0,02085	-0,11269	0,01526
285	5569360,4	5716760,7	-8,7	15	-0,08106	0,21432	0,06674
286	5571050,1	5715890,2	-0,2	3,3	0,04742	0,0049	-0,02031
288	5570827,2	5718762,1	-9,2	18,3	0,03543	-0,01629	0,02502
289	5571857,9	5720265,6	-4,6	2,3	-0,0059	0,01854	-0,01457
290	5569680,3	5716811,7	-26,3	2,9	-0,03675	0,14752	-0,04354
291	5568525,5	5717970,9	-123,5	-147,1	0,21921	-0,16988	0,13399
292	5566903,1	5716158,9	9,3	3,4	-0,00391	0,09988	0,00617
293	5568544,9	5714882	-6,6	10,7	-0,01514	0,07663	0,07071
294	5572878,3	5717831,7	-18,2	-25,9	0,06189	-0,01282	0,00649
295	5569752,6	5719689,5	-117,5	-84,8	-0,01573	-0,17721	0,00045
296	5566535,8	5715013,3	8,1	3,7	0,00755	0,02157	0,02325
297	5567899,7	5715094,6	6,3	-5,4	0,03041	-0,00451	0,05387
298	5572059,3	5717537,9	-2,3	-1,2	-0,06734	0,18991	0,03578
299	5572339,4	5716492,2	-33,7	-23,7	0,03234	-0,00388	-0,0192
300	5573288,8	5718020,6	-6,7	15,7	0,05262	-0,04488	-0,07534
301	5567592,8	5717760,5	-38,9	44,1	0,193	0,07367	0,44483
302	5573372	5715678,1	3,4	8,4	-0,00071	0,02489	0,01563
303	5574155,7	5718561	-2,5	16,5	-0,01176	-0,03836	-0,00565
304	5566912	5720400,7	1	-9,8	0,00547	0,04588	0,03326
305	5573689,4	5719955,6	-5,6	-0,1	-0,01071	-0,0325	0,00506
306	5567438,2	5718106,7	-10,2	26,4	0,12934	-0,09872	0,09794
307	5566992,2	5718854	14,7	7	0,00927	0,03984	0,02762
308	5568543,3	5719295,6	-9,5	17,4	0,01406	0,03915	-0,01899
309	5569117,2	5715818,2	-190,8	-6,9	-0,33852	-0,34251	-0,15809
310	5567508,3	5720309,9	6	0,1	0,04435	-0,03355	0,03712
311	5572037,6	5715350,4	-50,3	-7,4	-0,05041	-0,16138	0,0743
313	5568044,5	5716725,8	-4,7	3,1	-0,04455	0,0284	-0,06717
314	5572824,3	5716694,2	-3	-4,1	0,0119	-0,04592	0,0114
315	5572267,3	5717555,1	-5	-4,3	-0,01489	0,14038	0,00483
316	5568384,1	5716222,6	5,6	5,3	0,00157	0,00457	0,00984
317	5568370,1	5716206	-3,2	-4,1	0,00478	-0,00274	0,00821
318	5574606	5719958,6	2,7	7	0,00311	-0,00138	0,02482
319	5573410,3	5714793	-4,1	25,3	0,00672	0,04022	0,011
320	5571646,2	5714675,9	-19,9	4,3	0,005	-0,00101	0,03224
321	5574439	5714713,4	-61,4	60	0,08252	0,01321	0,08033
322	5572708,3	5718911,4	-12,1	-13,4	0,10587	0,08312	0,05317
323	5568435,6	5716026,5	24,4	23,7	0,01323	-0,00118	0,00013
324	5574629,6	5715909,5	7,1	22	-0,0177	0,01401	0,01469
325	5574328,3	5715862,7	1,6	27,9	0,04197	-0,01922	0,00623
326	5572607	5720267	-5,9	-14,2	0,05807	-0,00978	-0,02214
327	5567144,1	5715497,6	20,7	2,3	-0,04258	0,04732	-0,05448
328	5572081,1	5720009,2	-4,5	1,1	-0,02666	-0,04934	0,02642
329	5571226,2	5715766,3	-0,4	24,9	0,00145	0,07377	-0,01623
330	5571151,7	5715797,3	-3,8	-7,1	-0,00767	0,02687	-0,01272
331	5567635,8	5719620,4	14,4	14,8	0,01135	-0,02521	-0,03168
332	5570865,6	5720234	-0,6	19,4	0,00132	-0,11334	-0,01368
333	5567594,8	5716546	-9,9	-0,2	0,01361	-0,09606	-0,02186
334	5572185,5	5715253,4	-28,1	14,5	-0,05576	-0,07289	0,04968
335	5569400,9	5715594,8	-173,9	-109,7	-0,11458	-0,22144	-0,18031
336	5566646,2	5717713	7,2	2,6	0,01306	0,03483	-0,03159
337	5574366,4	5718013,1	18,4	33,2	0,02366	0,03139	-0,02896
338	5566933,4	5715948,1	4,5	-6,5	0,02275	-0,0495	-0,00408
339	5569857,8	5715001,5	-38,6	-21,4	0,04043	0,02771	-0,02549
340	5572176	5719267,4	-18,1	36,7	-0,04376	0,17907	0,12415
341	5569226	5717280	-7,8	-3,6	-0,03546	-0,02429	0,00988
342	5567673,8	5718044,3	-71,3	80,9	0,01573	-0,22334	0,05629
343	5571351,3	5716108,5	-1,7	32,1	0,04026	0,00414	0,05405
344	5569916,7	5717991,8	8	19,7	0,02353	-0,00444	0,02172
345	5571365,2	5716458	-3,9	54,9	-0,01275	-0,01555	0,045
346	5574512,2	5719614,4	5,6	12,8	-0,01076	-0,01778	-0,02202
347	5570024,9	5716873,1	-21,7	-24,2	0,02212	-0,02104	0,02617
348	5566541	5715403,9	15	2,2	-0,01079	0,05081	-0,03335
349	5570692,8	5717811,1	5,2	26,5	0,02527	-0,02577	-0,03405
350	5570241,9	5720039,4	8,5	8,7	0,03919	0,02349	0,0793
351	5570611,5	5716414	6,3	8,7	0,03279	0,06145	-0,04844
352	5567968,7	5718028,1	-244,2	43,8	-0,62142	-0,36493	-0,29222
353	5569844,6	5716149,1	-35,6	-56,6	0,07348	0,10687	0,02998
354	5573378,9	5716618,2	20,6	22,8	0,01546	-0,03602	0,02766
355	5567430,3	5718214,7	-22,4	10,1	0,08515	-0,06055	0,01865
356	5570294,8	5716932,7	0,8	5,9	0,02969	-0,03943	0,00453
357	5571933,2	5718304	-166,4	67,9	-0,13907	-0,41696	0,11963
358	5572282,4	5717661,2	-8,3	-3,2	-0,03181	0,11748	-0,00683
360	5568835,2	5715829,9	-41,7	49,6	-0,06055	-0,0053	0,12494
361	5566853,5	5719969,3	-22,2	-18,8	-0,00213	0,00452	-0,00244
362	5567107,2	5719854,7	18,9	5	0,02766	0,0575	0,05314
363	5572420	5718060,3	-46,3	-14,9	-0,07982	0,10615	-0,19309
365	5570880,9	5715547	4,2	3	0,04976	0,02384	0,01507
366	5569431,3	5716957,1	-6,4	1,8	-0,07921	0,01111	-0,0139
367	5572040,7	5715877,2	-25,7	17,5	-0,06596	0,06755	-0,07411
368	5573560,7	5718132,1	-2,3	1,2	0,0131	-0,069	0,08201
369	5567792,8	5718829,7	-1,9	-7,7	-0,09224	0,09144	-0,01583
370	5573633,5	5719797,1	6,4	0,9	-0,03555	0,00025	-0,05821
371	5571179,3	5715227,5	1,5	3,3	0,03514	-0,00634	-0,01029
372	5573707,2	5715040,1	3,9	16,7	-0,00829	0,03568	-0,02721
373	5571186	5715759	-6,9	9,7	-0,01294	0,05465	-0,02536
374	5571354,9	5718260,6	-29,2	61	0,07514	-0,00086	0,04581
375	5573883,3	5720287,1	20,8	5,8	-0,01183	-0,02152	-0,03294
376	5567539,9	5717415,2	-32,8	15,9	0,03064	-0,04829	0,05838
377	5567574,2	5719449,8	4,7	-2,4	0,02432	0,01477	0,01168
378	5574227,1	5720125,1	-15,4	-20,9	-0,00275	-0,04241	-0,03398
379	5571004,8	5714924,5	-19,3	-17,1	0,01073	0,02352	0,00016
